,bathrooms,bedrooms,features,interest_level,latitude,listing_id,longitude,photos,price,created_month,created_day
100277,1.0,2,0,low,40.7736,6927877,-73.947,4,2750.0,4,26
100278,1.0,1,9,medium,40.7633,6919514,-73.9628,4,3200.0,4,24
100279,1.0,0,9,medium,40.7444,6900844,-73.9754,6,2400.0,4,20
100282,2.0,3,2,high,40.7796,6894530,-73.852651,11,2000.0,4,19
100283,1.0,2,3,medium,40.7697,6890146,-73.9581,6,3300.0,4,18
100286,1.0,0,9,low,40.7075,6933977,-74.0113,3,3090.0,4,27
100287,1.0,3,6,medium,40.7264,6837789,-73.9836,5,4895.0,4,7
10029,1.0,2,5,low,40.7947,7095651,-73.9667,4,5465.0,6,2
100296,1.0,3,0,medium,40.7983,6930615,-73.9416,5,2000.0,4,27
100297,1.0,0,8,low,40.7481,6907321,-73.9748,5,2700.0,4,21
100299,1.0,1,1,low,40.7993,6864865,-73.9689,4,2400.0,4,13
10030,1.0,3,8,low,40.7694,7229402,-73.9603,7,4400.0,6,29
100300,1.0,1,5,medium,40.7299,6825388,-73.9819,4,2795.0,4,5
100302,1.0,2,0,low,40.7751,6903190,-73.9481,6,2475.0,4,20
100305,2.0,2,4,low,40.7922,6812585,-73.9645,4,5495.0,4,2
100307,1.0,0,6,medium,40.7366,6886100,-73.9934,3,2900.0,4,17
100308,2.0,3,11,low,40.6896,6922235,-73.9527,4,3462.0,4,25
100310,2.0,1,9,low,40.7324,6820367,-74.0081,4,8400.0,4,4
100311,1.0,1,1,low,40.7412,6903401,-73.9772,1,3150.0,4,21
100314,1.0,0,9,low,40.754,6883529,-73.9678,4,2600.0,4,16
100316,1.0,0,5,low,40.7382,6910087,-73.9965,7,3995.0,4,22
100317,1.0,1,6,low,40.764,6886430,-73.98,5,3600.0,4,17
100318,1.0,2,8,high,40.7401,6818493,-74.0039,5,5400.0,4,3
100319,1.0,1,12,medium,40.7481,6920767,-73.9564,12,2983.0,4,24
100322,1.0,1,0,medium,40.7723,6831747,-73.948,7,2400.0,4,6
100324,1.0,3,13,low,40.7681,6877550,-73.9527,6,13000.0,4,15
10033,1.0,0,3,low,40.7777,7108485,-73.9498,4,1800.0,6,4
100331,1.0,1,8,high,40.7951,6894240,-73.9676,5,2700.0,4,19
100332,1.0,1,2,low,40.6905,6855492,-73.9668,5,2200.0,4,11
100333,1.0,1,6,low,40.7612,6812475,-73.9978,6,3346.0,4,2
100335,2.0,3,6,low,40.7906,6947696,-73.9687,1,6000.0,4,30
100338,1.0,2,2,low,40.862047,6830764,-73.9217,3,2195.0,4,6
10034,1.0,1,9,low,40.7692,7107622,-73.9847,8,5200.0,6,4
100343,2.0,3,10,medium,40.7075,6927068,-74.0059,11,4500.0,4,26
100345,2.0,3,2,medium,40.6812,6862919,-73.9105,8,2395.0,4,13
100346,1.0,1,14,low,40.862047,6875908,-73.852651,11,2195.0,4,15
100348,2.0,2,6,low,40.7634,6900832,-73.9596,4,5200.0,4,20
100356,2.0,4,5,high,40.7307,6878419,-73.9837,8,5800.0,4,15
100358,1.0,0,1,medium,40.7242,6886196,-73.9878,3,1975.0,4,17
100359,1.0,0,1,low,40.7298,6862696,-73.9868,6,2750.0,4,12
100360,1.0,1,7,low,40.7658,6828701,-73.9781,8,3750.0,4,6
10037,2.0,3,12,medium,40.7548,7096956,-73.9944,7,4555.0,6,2
100371,2.0,2,0,low,40.7437,6905574,-73.9585,15,4890.0,4,21
100377,1.0,3,3,low,40.7177,6965440,-73.9984,3,4595.0,4,10
100380,1.0,2,1,low,40.763,6851802,-73.9579,7,2800.0,4,10
100382,1.0,1,4,medium,40.6663,6914964,-73.9402,8,1800.0,4,23
100385,1.0,1,2,low,40.7406,6886758,-73.9822,5,3195.0,4,17
100386,1.0,1,5,medium,40.755,6935754,-73.9663,5,2675.0,4,28
100387,2.0,2,11,low,40.7621,6941377,-73.9956,5,5450.0,4,29
100390,2.0,3,13,low,40.7469,6940927,-73.9803,6,5000.0,4,29
100391,1.0,1,5,low,40.7111,6853469,-73.852651,1,1675.0,4,10
100392,2.0,2,9,low,40.7182,6926629,-74.0148,6,6200.0,4,26
100395,1.0,2,5,low,40.8217,6876419,-73.9486,4,2500.0,4,15
100399,1.0,3,1,medium,40.7265,6932079,-73.9835,3,4750.0,4,27
1004,1.0,1,2,medium,40.7441,7195591,-73.8792,12,1700.0,6,21
10040,1.0,0,3,low,40.7689,7172841,-73.9681,3,2850.0,6,16
100400,1.0,0,16,low,40.7032,6862351,-73.9914,7,3035.0,4,12
100403,1.0,1,2,low,40.7787,6821667,-73.9751,4,3100.0,4,4
100406,1.0,1,8,high,40.7265,6849785,-73.9851,10,3195.0,4,9
100410,1.0,2,5,low,40.7491,6942038,-73.9789,2,3450.0,4,29
100411,1.0,1,3,medium,40.7793,6909039,-73.9496,2,1895.0,4,21
100412,1.0,1,2,low,40.7726,6903614,-73.926,6,2600.0,4,21
100417,1.0,1,5,low,40.7462,6874758,-73.9757,5,3175.0,4,15
100419,1.0,1,4,low,40.7346,6840041,-74.0018,5,2600.0,4,7
100422,1.0,2,8,low,40.7062,6918057,-74.0099,5,3025.0,4,24
100423,1.0,1,6,low,40.7704,6864381,-73.9566,3,3790.0,4,13
100424,1.0,2,1,low,40.7616,6928762,-73.9643,7,4600.0,4,27
100427,1.0,3,7,low,40.755,6831840,-73.9636,6,4450.0,4,6
100429,1.0,3,4,medium,40.7588,6945500,-73.9907,4,3200.0,4,30
100433,1.0,1,9,medium,40.6911,6853927,-73.9822,3,2769.0,4,10
100437,1.0,1,5,low,40.7417,6839585,-73.9806,17,3800.0,4,7
100438,1.0,2,2,low,40.7603,6887119,-73.995,5,2595.0,4,17
100439,1.0,1,5,low,40.7658,6847031,-73.9781,8,3775.0,4,9
100440,1.0,2,3,low,40.8342,6841584,-73.9427,0,1895.0,4,8
100444,2.0,3,9,low,40.7604,6864072,-73.987,6,4700.0,4,13
100445,1.0,2,6,low,40.746,6926755,-73.9754,6,3495.0,4,26
100446,1.0,1,3,low,40.7771,6880947,-73.9496,0,2800.0,4,16
100449,1.0,1,5,low,40.7412,6929248,-73.9772,10,3050.0,4,27
10045,2.0,3,3,low,40.6577,7187990,-73.9055,20,2300.0,6,21
100451,1.0,1,8,low,40.7637,6859496,-73.9846,8,2975.0,4,12
100454,1.0,2,7,medium,40.7095,6897104,-74.0094,7,3150.0,4,19
100457,2.5,3,11,low,40.7425,6864115,-73.9926,6,13000.0,4,13
100458,1.0,2,9,low,40.7088,6843557,-74.0143,8,3300.0,4,8
100463,2.0,3,3,low,40.7722,6868334,-73.9606,7,8200.0,4,13
100464,1.0,2,6,medium,40.7489,6918821,-73.9765,4,3276.0,4,24
100465,1.0,4,0,high,40.7274,6841075,-73.9882,4,5800.0,4,8
100467,1.0,1,5,low,40.7512,6846567,-74.0026,0,4030.0,4,9
100468,1.0,1,15,medium,40.7593,6932296,-73.9962,8,3129.0,4,27
100469,1.5,3,14,low,40.753,6930696,-73.9959,8,4400.0,4,27
100471,1.0,3,3,medium,40.8008,6917095,-73.9611,8,2950.0,4,23
100472,1.0,3,6,medium,40.7221,6938861,-73.9837,7,4899.0,4,28
100473,1.0,1,2,low,40.731,6843876,-73.9876,4,3195.0,4,8
100475,1.0,0,5,medium,40.7928,6924281,-73.9758,3,2300.0,4,26
100477,1.0,2,7,low,40.753,6930371,-73.9695,7,3500.0,4,27
100479,1.0,2,4,medium,40.7302,6849385,-73.9826,5,3250.0,4,9
10048,1.0,0,4,high,40.7663,7145794,-73.852651,9,1350.0,6,12
100482,1.0,0,6,low,40.7328,6864804,-74.0089,8,2500.0,4,13
100489,1.0,1,2,low,40.7992,6899452,-73.9674,5,2450.0,4,20
100490,1.0,0,5,low,40.7588,6907090,-73.9694,6,2400.0,4,21
100491,1.0,2,0,medium,40.756,6822287,-73.9687,7,2800.0,4,4
100493,1.0,0,12,low,40.7612,6918128,-73.9978,4,2600.0,4,24
100497,2.0,3,7,medium,40.7297,6858138,-73.986,7,5100.0,4,12
100498,1.0,2,2,low,40.7444,6908210,-74.0,3,3600.0,4,21
100502,1.0,1,1,high,40.742,6944085,-73.9826,6,1800.0,4,29
100504,1.0,1,3,low,40.7976,6865014,-73.968,10,2300.0,4,13
100509,1.0,1,1,low,40.7836,6931540,-73.9491,4,2295.0,4,27
100511,1.0,1,11,low,40.7868,6864155,-73.9504,7,3138.0,4,13
100512,1.0,3,10,low,40.8035,6876775,-73.9567,12,3750.0,4,15
100514,1.0,2,9,low,40.708,6861664,-74.0149,2,3097.0,4,12
100515,1.0,2,1,high,40.7803,6824701,-73.9465,7,2495.0,4,5
100518,1.5,1,5,low,40.7861,6893811,-73.9777,3,3400.0,4,19
10052,1.0,0,4,low,40.7032,7193261,-73.9914,1,3156.0,6,21
100521,2.0,2,9,low,40.7111,6937909,-74.0055,4,6500.0,4,28
100523,1.0,1,4,medium,40.7356,6901602,-73.9828,4,2830.0,4,20
100524,1.0,2,14,high,40.7316,6930606,-73.9839,11,3400.0,4,27
100526,1.0,1,4,high,40.6404,6849599,-73.955,4,1475.0,4,9
10053,0.0,0,0,low,40.6503,7153130,-74.0135,3,2195.0,6,12
100535,1.0,0,1,high,40.7852,6895162,-73.9777,5,1795.0,4,19
100536,1.0,2,14,medium,40.7842,6858024,-73.948,7,2900.0,4,12
100543,1.0,1,11,low,40.7633,6910133,-73.9785,7,3250.0,4,22
100544,1.0,0,10,low,40.7443,6822146,-73.9859,3,3125.0,4,4
100545,1.0,1,6,medium,40.7462,6833238,-73.9757,5,2695.0,4,6
100547,2.0,2,3,medium,40.6905,6827455,-73.9668,5,3000.0,4,5
10055,1.0,2,11,low,40.7087,7171381,-74.0058,5,3995.0,6,16
100551,1.0,3,3,low,40.7187,6858791,-73.9831,7,4725.0,4,12
100553,2.0,4,10,low,40.7489,6823927,-73.9732,6,5800.0,4,5
100558,1.0,1,6,medium,40.7331,6855206,-74.0055,9,3795.0,4,11
100559,1.0,2,4,low,40.7299,6903826,-73.9819,8,3695.0,4,21
100560,1.0,2,11,low,40.7405,6945350,-73.9767,4,3100.0,4,30
100561,2.0,3,7,low,40.7449,6904890,-73.9812,10,6150.0,4,21
100563,1.0,1,3,medium,40.7775,6908847,-73.9483,10,2550.0,4,21
100564,1.0,1,2,low,40.7974,6944534,-73.9706,3,2700.0,4,30
100567,1.0,1,13,low,40.7518,6902444,-73.9849,7,3570.0,4,20
10057,1.0,1,3,low,40.727,7228593,-74.0162,12,2800.0,6,29
100571,1.0,1,3,low,40.7421,6812548,-73.9788,8,2995.0,4,2
100574,1.0,0,6,low,40.7603,6912781,-73.961,4,2500.0,4,22
100577,2.0,2,3,low,40.7752,6931240,-73.9887,20,5795.0,4,27
100583,1.0,2,10,low,40.7081,6947000,-74.0065,4,3460.0,4,30
100591,1.0,0,4,medium,40.759,6844961,-73.9621,4,2000.0,4,8
100593,1.0,0,3,low,40.71,6935502,-74.0143,4,2595.0,4,28
100596,1.0,0,0,low,40.7333,6925837,-73.9796,4,1950.0,4,26
100597,1.0,0,3,low,40.7894,6909915,-73.9764,1,2350.0,4,22
100598,1.0,2,9,high,40.7427,6812831,-73.9794,5,2999.0,4,2
100600,1.0,2,0,medium,40.7865,6868650,-73.9744,7,2500.0,4,13
100601,1.0,1,6,low,40.7481,6891734,-73.9564,10,3160.0,4,19
100602,1.0,2,3,low,40.7033,6925811,-73.92,5,2000.0,4,26
100604,1.0,0,7,low,40.7238,6932120,-73.9902,4,2650.0,4,27
100605,1.0,0,5,low,40.7047,6847239,-74.0076,1,3138.0,4,9
10061,1.0,2,5,low,40.7466,7120960,-73.9779,5,3200.0,6,7
100613,1.0,1,5,low,40.7838,6880824,-73.9535,7,3850.0,4,16
100614,1.0,2,2,low,40.7705,6889991,-73.9485,7,2750.0,4,18
100617,1.0,0,0,medium,40.7706,6890852,-73.9501,4,1750.0,4,18
100619,1.0,4,5,low,40.8441,6851578,-73.9406,9,3200.0,4,10
100620,1.0,1,14,low,40.7568,6839190,-73.9982,6,3500.0,4,7
100622,1.0,2,2,low,40.6905,6920989,-73.9668,5,3000.0,4,25
100624,1.0,2,7,low,40.753,6899246,-73.9695,7,5095.0,4,20
100626,2.0,2,0,low,40.8071,6876602,-73.9552,5,3850.0,4,15
100628,1.0,0,5,medium,40.7749,6813199,-73.9782,5,2280.0,4,2
100629,1.0,0,3,low,40.6461,6866253,-73.9617,9,1850.0,4,13
100630,1.0,2,0,low,40.7318,6879298,-73.9864,3,3450.0,4,15
100633,1.0,1,11,low,40.7633,6943593,-73.9785,7,3250.0,4,29
100634,1.0,2,0,low,40.6774,6941339,-73.9583,2,2900.0,4,29
100636,1.0,1,4,low,40.7628,6877936,-73.9849,2,3350.0,4,15
100638,1.0,1,2,medium,40.6621,6860098,-73.9793,3,1995.0,4,12
10064,1.0,1,7,low,40.7247,7134800,-73.9935,5,4195.0,6,10
100640,1.0,2,12,medium,40.8233,6919760,-73.9532,7,1900.0,4,24
100641,1.0,1,2,low,40.7343,6893051,-74.0094,5,3850.0,4,19
100642,1.0,1,3,low,40.7632,6897686,-73.9907,4,2495.0,4,20
100644,0.0,1,7,low,40.745,6898951,-73.9863,5,4475.0,4,20
100646,1.0,0,3,low,40.7705,6905541,-73.9485,4,1895.0,4,21
100648,1.0,1,6,medium,40.6493,6859023,-73.974,12,2487.0,4,12
100649,1.0,3,3,low,40.7729,6906328,-73.9485,7,5100.0,4,21
100650,1.0,1,3,low,40.7625,6860123,-73.9864,8,3640.0,4,12
100657,1.0,2,7,low,40.8222,6915828,-73.94,7,2100.0,4,23
100658,1.0,2,3,medium,40.7586,6891232,-73.9838,6,3505.0,4,18
100659,1.0,3,7,low,40.8246,6894024,-73.9508,12,2700.0,4,19
100660,0.0,0,10,low,40.7805,6837641,-73.9464,8,2775.0,4,7
100661,1.0,0,6,low,40.7974,6858262,-73.9708,5,2350.0,4,12
100662,1.0,2,7,medium,40.8021,6861869,-73.9392,7,2250.0,4,12
100663,1.0,0,9,medium,40.6898,6826214,-73.9797,8,2441.0,4,5
100664,1.0,1,5,low,40.7334,6836651,-74.0047,0,4250.0,4,7
100670,1.0,1,5,medium,40.7735,6905805,-73.9064,6,2188.0,4,21
100671,1.0,0,2,low,40.7771,6815069,-73.9515,4,1825.0,4,2
100672,1.0,1,1,low,40.7601,6888729,-73.99,4,2650.0,4,18
100677,1.0,0,3,low,40.7863,6851174,-73.971,0,2190.0,4,10
10068,1.0,0,5,low,40.7767,7206584,-73.9456,3,2199.0,6,24
100684,2.0,2,17,medium,40.7669,6898347,-73.9344,15,3600.0,4,20
100685,1.0,1,4,low,40.7338,6858693,-74.0009,4,4650.0,4,12
100686,1.0,2,1,low,40.7494,6877608,-73.8801,13,2500.0,4,15
100688,1.0,3,10,low,40.8419,6882555,-73.9377,7,2525.0,4,16
100689,1.0,1,12,low,40.7321,6861263,-74.008,6,4500.0,4,12
100690,1.0,0,1,low,40.779,6858022,-73.9461,5,2100.0,4,12
100692,1.0,1,1,low,40.7292,6829656,-73.986,4,2350.0,4,6
100694,3.0,3,5,low,40.7381,6872957,-73.992,6,13000.0,4,14
100697,1.0,0,6,low,40.7369,6890888,-73.8633,9,1400.0,4,18
1007,1.0,1,2,low,40.7222,7132576,-73.9464,5,2292.0,6,9
10070,2.0,3,2,medium,40.7316,7158560,-73.9838,7,5850.0,6,14
100703,1.0,0,2,low,40.7559,6904435,-73.9658,3,1850.0,4,21
100709,1.0,1,5,low,40.7549,6893404,-73.969,5,3095.0,4,19
100710,1.0,0,2,low,40.7198,6843855,-73.9991,6,6650.0,4,8
100718,1.0,2,4,low,40.7446,6820208,-73.974,6,3295.0,4,4
100721,2.0,2,2,low,40.7826,6875471,-73.9509,0,7930.0,4,15
100723,1.0,1,12,medium,40.7238,6929152,-73.9902,5,2999.0,4,27
100725,1.0,0,3,medium,40.7854,6919083,-73.9752,5,2100.0,4,24
100727,2.0,2,9,low,40.7075,6932695,-74.0059,6,4800.0,4,27
100729,1.0,2,4,medium,40.6736,6842582,-73.9659,5,3000.0,4,8
10073,1.0,2,2,high,40.8063,7111226,-73.9157,5,2195.0,6,4
100732,1.0,1,6,medium,40.7538,6921560,-73.974,4,2800.0,4,25
100734,1.0,1,5,low,40.7792,6920295,-73.9514,3,2599.0,4,24
100735,1.0,0,4,high,40.7621,6913971,-73.9638,5,1850.0,4,22
100737,1.0,0,3,low,40.7785,6821744,-73.9759,12,2575.0,4,4
100739,2.0,2,8,low,40.6906,6874221,-73.9827,8,4083.0,4,14
100740,1.0,2,2,low,40.764,6912685,-73.9799,0,3600.0,4,22
100742,1.0,0,3,low,40.7073,6829725,-74.0046,0,2900.0,4,6
100743,1.0,1,0,low,40.7802,6843776,-73.9504,3,1925.0,4,8
100744,1.0,1,9,medium,40.7582,6912023,-73.9622,6,3115.0,4,22
100748,1.0,2,3,low,40.7348,6916320,-73.9865,9,7000.0,4,23
100751,1.0,2,0,medium,40.7409,6890825,-73.9812,9,2600.0,4,18
100753,2.0,2,11,low,40.7606,6883577,-73.9963,5,4000.0,4,16
100765,1.0,1,1,low,40.7775,6940273,-73.9536,6,2500.0,4,29
100767,1.0,2,8,low,40.7081,6918304,-74.0065,4,3400.0,4,24
10077,1.0,2,1,low,40.7616,7174416,-73.9936,5,3500.0,6,17
100770,1.0,1,13,medium,40.7487,6919459,-73.9901,6,4295.0,4,24
100772,2.0,4,10,low,40.8365,6815148,-73.9441,12,3700.0,4,2
100774,1.0,1,0,low,40.7993,6860165,-73.9625,0,2500.0,4,12
100776,1.0,2,4,low,40.7635,6945704,-73.9799,5,3800.0,4,30
100789,1.0,2,2,low,40.7528,6909329,-73.9709,8,3950.0,4,22
10079,1.0,3,4,low,40.7087,7205608,-73.955,5,4600.0,6,23
100791,1.0,1,4,medium,40.7346,6927091,-74.0018,5,2600.0,4,26
100793,1.0,1,4,low,40.7885,6876991,-73.9749,3,2300.0,4,15
100797,1.0,2,2,medium,40.6882,6869355,-73.9615,6,2400.0,4,14
